"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";"Digikey"
1;"U501";"SOT23-5";1;"MIC5203";"MIC5203-3.3YM5 TR";"576-2728-1-ND"
2;"C201,C501,C401,C304,C302";"SM0805";5;"0.1uF";"08055C104KAT2A";"478-1395-1-ND"
3;"R102,R101";"SM0805";2;"1K";"RMCF0805JT1K00";"RMCF0805JT1K00CT-ND"
4;"C502";"SM0805";1;"1uF";"CC0805KKX7R7BB105";"311-1365-1-ND"
5;"C403";"SM0805";1;"4.7uF";"C2012X7R1A475M";"445-1605-1-ND"
6;"C402";"SM0805";1;"0.22uF";"C2012X7R1H224K";"445-1350-1-ND"
7;"C303";"SM0805";1;"2.2nF";"08051C222KAT2A";"478-1354-1-ND"
8;"C301";"SM0805";1;"10nF";"GRM216R71H103KA01D";"490-1664-1-ND"
9;"P101";"CONN_8_100MIL_OVAL";1;"CONN_8";"No component";"NA"
10;"SW201,SW301";"JUMP_2_SMALL_NO_PASTE";2;"SOLDER_SWITCH";"No component";"NA"
11;"SW101";"SOLDER_JUMPER_NO_PASTE";1;"SPST";"No component";"NA"
12;"FIDUCIAL_1mm_noborder,FIDUCIAL_1mm_noborder";"FIDUCIAL_1mm_noborder";2;"VAL**";"No component";"NA"
13;"U301";"MPU60X0";1;"MPU60X0";"MPU6050";"NA"
14;"U401";"HMC5883L";1;"HMC5883";"HMC5883L-TR";"342-1082-1-ND"
15;"U201";"MS5611-01BA01";1;"MS5611-01BA01";"MS5611-01BA01";"NA"
